add-none,2,100,400,23257472,58143,0
add-none,2,1000,4000,21791086,5447,0
add-none,2,10000,40000,12524139,313,0
add-none,2,100000,400000,37495082,93,160
add-none,4,100,800,35495249,44369,0
add-none,4,1000,8000,14840499,1855,-474
add-none,4,10000,80000,19109262,238,-697
add-none,4,100000,800000,26323734,32,16
add-none,8,100,1600,41412630,25882,17
add-none,8,1000,16000,22032098,1377,7
add-none,8,10000,160000,26910396,168,-5871
add-none,8,100000,1600000,54406081,34,86973
add-none,12,100,2400,26680495,11116,-43
add-none,12,1000,24000,21890235,912,-374
add-none,12,10000,240000,44027277,183,-5148
add-none,12,100000,2400000,53015472,22,10380
add-yield-none,2,10,40,37804182,945104,0
add-yield-none,4,10,80,49917731,623971,0
add-yield-none,8,10,160,41628553,260178,0
add-yield-none,12,10,240,59812216,249217,0
add-yield-none,2,20,80,52742184,659277,0
add-yield-none,4,20,160,40733513,254584,0
add-yield-none,8,20,320,58422463,182570,0
add-yield-none,12,20,480,37045957,77179,0
add-yield-none,2,40,160,35112914,219455,0
add-yield-none,4,40,320,34589879,108093,0
add-yield-none,8,40,640,36788078,57481,0
add-yield-none,12,40,960,55391994,57699,0
add-yield-none,2,80,320,43450681,135783,0
add-yield-none,4,80,640,25794906,40304,0
add-yield-none,8,80,1280,36834089,28776,0
add-yield-none,12,80,1920,39502607,20574,0
add-yield-none,2,100,400,36925930,92314,0
add-yield-none,4,100,800,36234223,45292,0
add-yield-none,8,100,1600,36768236,22980,0
add-yield-none,12,100,2400,36440316,15183,0
add-yield-none,2,1000,4000,42050277,10512,0
add-yield-none,4,1000,8000,52461373,6557,0
add-yield-none,8,1000,16000,53137700,3321,0
add-yield-none,12,1000,24000,53532746,2230,0
add-yield-none,2,10000,40000,170861008,4271,-18
add-yield-none,4,10000,80000,213655829,2670,0
add-yield-none,8,10000,160000,217837577,1361,0
add-yield-none,12,10000,240000,224008178,933,0
add-yield-none,2,100000,400000,1224861037,3062,-23715
add-yield-none,4,100000,800000,1370662305,1713,-6678
add-yield-none,8,100000,1600000,1222041306,763,12001
add-yield-none,12,100000,2400000,1131942581,471,-58911
add-none,1,10,20,15110206,755510,0
add-none,1,20,40,528221,13205,0
add-none,1,40,80,131846,1648,0
add-none,1,80,160,134053,837,0
add-none,1,100,200,183084,915,0
add-none,1,1000,2000,171329,85,0
add-none,1,10000,20000,2981847,149,0
add-none,1,100000,200000,2608409,13,0
add-yield-m,2,10000,40000,106027658,2650,0
add-yield-m,4,10000,80000,152280504,1903,0
add-yield-m,8,10000,160000,373926125,2337,0
add-yield-m,12,10000,240000,1073951995,4474,0
add-yield-c,2,10000,40000,43632686,1090,0
add-yield-c,4,10000,80000,74672933,933,0
add-yield-c,8,10000,160000,294022375,1837,0
add-yield-c,12,10000,240000,504426462,2101,0
add-yield-s,2,1000,4000,19501780,4875,0
add-yield-s,4,1000,8000,156029165,19503,0
add-yield-s,8,1000,16000,426659867,26666,0
add-yield-s,12,1000,24000,618297024,25762,0
add-m,1,10000,20000,752391,37,0
add-m,2,10000,40000,20241964,506,0
add-m,4,10000,80000,31454425,393,0
add-m,8,10000,160000,77942873,487,0
add-m,12,10000,240000,140643964,586,0
add-c,1,10000,20000,515772,25,0
add-c,2,10000,40000,1654829,41,0
add-c,4,10000,80000,12960909,162,0
add-c,8,10000,160000,60938011,380,0
add-c,12,10000,240000,82496031,343,0
add-s,1,10000,20000,364055,18,0
add-s,2,10000,40000,8540099,213,0
add-s,4,10000,80000,25034796,312,0
add-s,8,10000,160000,38556979,240,0
add-s,12,10000,240000,56923829,237,0
